Date,Forecast,Lower_90,Upper_90,Lower_95,Upper_95
2025-09-23,259.3223519789866,254.4735253707601,264.3153978321871,252.8414530564518,265.7413615130159
2025-09-24,261.40252751606505,253.9180364334047,269.5263875685896,251.75318827704396,272.0463534615516
2025-09-25,263.25655698019784,252.90116777922603,274.1121514473606,249.75221601685038,276.98101088189475
2025-09-26,264.12218361410544,251.3541930538727,277.04560492623574,248.0874067552458,281.18087633928815
2025-09-29,265.18957563148314,250.66641387898449,279.5405038994875,246.5822915384054,283.9065982787185
2025-09-30,265.5791330478444,249.59134978832753,281.643979747775,245.97791920571777,286.4714348234012
2025-10-01,266.915244117886,249.0120891889881,283.4993389705438,244.69216012942465,289.0585778566516
2025-10-02,266.79608206986836,248.4913709300166,285.9392136423646,244.07205383776363,291.9795293755648
2025-10-03,267.6830410990493,248.44863621184174,287.7817406488802,243.75524391543382,293.46535133900625
2025-10-06,268.0384315710609,248.1035184529043,289.9542621039233,242.07208389404948,297.5644333035426
2025-10-07,269.56330732377774,248.03674721139635,291.9121608267804,241.07159819043127,299.8824849962843
2025-10-08,270.6245795738673,247.9138188966057,294.35881853595754,240.8384375572458,300.40929253899395
2025-10-09,271.6168696293049,247.37838638372352,296.1083300171519,240.51858036995642,304.2907854445174
2025-10-10,273.003838262881,245.55661965779936,298.02965733137364,239.69414376142856,305.66140033419293
2025-10-13,272.7993116146598,245.66665831869184,299.95255888326,238.45761993392244,307.4173029136339
2025-10-14,274.1844017919159,244.970090228806,302.76852682293696,237.26890327439133,310.03278649876523
2025-10-15,275.2301147779989,244.81119695811367,304.05185451628535,237.42113495254605,313.85919398672326
2025-10-16,275.28855477972775,244.76402560042925,305.6656615522197,235.82453497679393,315.78194371845325
2025-10-17,276.6247472437152,244.38807008771616,306.9726742712576,235.91585156819852,318.0167498113261
2025-10-20,277.03382456629583,245.047152104138,309.2612596970741,234.9209532080702,320.59802220113573
2025-10-21,278.3869012983002,244.19677484402496,310.4746871442576,234.31628747611083,320.6868055049408
2025-10-22,279.9543268032095,244.12296705304928,313.9771185467745,234.20124540071834,324.0756168008556
2025-10-23,280.2157467409219,245.0676475909693,314.2017830042775,233.14404616381108,326.6454572720191
2025-10-24,280.0343945901137,245.13293648358007,317.7146703928328,233.46022996492826,328.5070085480707
2025-10-27,280.95414885518767,244.64940140554694,319.8387836582517,232.5314471870693,332.45761492790217
2025-10-28,282.7665896670834,242.81582073086545,323.65228160959475,233.13667022186056,334.46222870395405
2025-10-29,283.14879870376177,243.52290029755994,325.2001957248466,232.07653995655792,336.9988697057684
2025-10-30,284.2068877603335,243.13754142075808,326.823315302301,233.03640988591445,339.4222480638578
2025-10-31,284.74821483122173,242.97896693951972,328.64560755614576,233.3254237038145,341.0744897591446
2025-11-03,285.84036786928385,244.30771074610752,331.88443122034926,233.3000074832526,344.17639383387547
2025-11-04,286.1961513504255,244.55087011479242,333.8665603296177,232.59156840567414,345.37521971135834
2025-11-05,287.82330567644806,245.3626705734712,335.27735282086826,233.01373858695106,348.3824473182811
2025-11-06,288.3687027928503,245.42319753328132,338.65796980448573,233.86093641147775,352.2457975460706
2025-11-07,289.8686756210868,246.0144135880888,341.40433792122906,234.45903047084312,355.1837625364623
2025-11-10,290.18756269698434,246.12265296604193,344.02030933412675,234.10985870105154,359.55156383177126
2025-11-11,291.0791135355403,245.72118137011,345.9540388015184,233.41030155394384,361.8593169327026
2025-11-12,292.20205526620214,246.394453075483,349.3553012053228,233.18200791311108,362.7350147096239
2025-11-13,293.2534211004354,247.34877927115036,350.5003965588424,231.62971063411982,365.7853724692959
2025-11-14,294.1036254460922,248.06440586250235,351.288284889544,233.77745813714074,370.01425271535675
2025-11-17,294.890179443148,249.82641204881494,352.42905068921533,234.52483729629205,370.61249596206494
2025-11-18,295.04317006656225,249.02801453347718,355.146412462781,235.19793678995603,373.42481028610615
2025-11-19,296.24337963992843,249.253316779632,358.5587489365204,235.53576849432372,375.91853056781656
2025-11-20,297.66194081339427,249.31853095152871,359.7741549137908,235.04376225781604,377.91594397440167
2025-11-21,298.8440700494924,249.27154026069277,361.3936113667988,236.3804016495535,379.12692246821376
2025-11-24,297.57504158233144,249.19951208239806,363.41857260274725,236.69714775961953,382.02160211546044
2025-11-25,299.52756170620285,249.30456140506863,366.0694800797158,237.94995790016725,383.98239157954515
2025-11-26,299.29672451176964,250.15561783814113,368.1743680194854,236.55099642287308,386.1982073466432
2025-11-27,300.1176084256633,250.51598844659986,369.3556909948659,237.52129149436865,387.9478676843135
2025-11-28,302.0932178265326,251.25968441785426,371.6771447492262,238.46934647062633,388.0791038147449
2025-12-01,302.39184883173186,250.8494711864406,374.15554233746997,240.37772892948846,389.0585028862211
2025-12-02,303.5030462646407,250.13880529116997,375.35190683002605,239.76368555093583,389.3558930100372
2025-12-03,304.4524222297104,250.55331116512983,375.69944652155186,240.17586243615006,391.17731486593107
2025-12-04,304.8156922392443,251.6999812418554,376.2797377243217,240.04176370466797,396.472615356411
2025-12-05,305.75321244520586,252.61661977904689,375.41684124607383,237.94589958467625,398.56352628788323
2025-12-08,305.8831419275043,253.24508121424313,377.89526686319624,239.17904531001477,400.00021373627635
2025-12-09,307.43261053927847,252.99480712307292,379.0793060652396,239.07816265128827,402.29518206171076
2025-12-10,307.5664180949235,253.26511993581056,381.8841574587572,239.74883799491164,405.9897163575206
2025-12-11,308.02297727009045,253.459203666119,381.8898039127375,239.50088975756205,406.95632715823143
2025-12-12,309.27760839532226,253.42554184531315,385.46171155574405,240.25973215176708,411.7376696129339
2025-12-15,309.4536008174024,253.7412263845674,389.98562240271406,239.38516662439528,415.20125150396717
